id_final,filename,class,train_test_final,xmin,ymin,xmax,ymax,height,width
0,AAJYPNPL/AAJYPNPL_f000011.jpg,Grey Langur,train,197.5,3.5,310.5,246.5,360,640
1,AAJYPNPL/AAJYPNPL_f000012.jpg,Grey Langur,train,197.5,3.5,310.5,246.5,360,640
2,AAJYPNPL/AAJYPNPL_f000013.jpg,Grey Langur,train,197.5,3.5,472.0,232.5,360,640
3,AAJYPNPL/AAJYPNPL_f000014.jpg,Grey Langur,train,197.5,3.5,310.5,232.5,360,640
4,AAJYPNPL/AAJYPNPL_f000015.jpg,Grey Langur,train,197.5,3.5,310.5,232.5,360,640
5,AAUQSVYU/AAUQSVYU_f000077.jpg,Leopard,train,214.49999959490003,157.5000026537,255.50000000000003,260.5,360,640
6,AAUQSVYU/AAUQSVYU_f000078.jpg,Leopard,train,214.49999959490003,157.5000026537,255.50000000000003,260.5,360,640
7,AAUQSVYU/AAUQSVYU_f000079.jpg,Leopard,train,214.49999959490003,157.5000026537,255.50000000000003,260.5,360,640
8,AAUQSVYU/AAUQSVYU_f000080.jpg,Leopard,train,206.5,146.5,255.5,249.5,360,640
9,AAUQSVYU/AAUQSVYU_f000081.jpg,Leopard,train,197.4999974251,147.50000389950003,255.5,260.5,360,640
10,AAYLTNPL/AAYLTNPL_f000038.jpg,Chimpanzee,train,154.5,104.5,579.5,357.0,360,640
11,AAYLTNPL/AAYLTNPL_f000039.jpg,Chimpanzee,train,154.5,104.5,579.5,357.0,360,640
12,AAYLTNPL/AAYLTNPL_f000040.jpg,Chimpanzee,train,154.5,104.5,579.5,357.0,360,640
13,AAYLTNPL/AAYLTNPL_f000041.jpg,Chimpanzee,train,154.5,104.5,534.5,357.0,360,640
14,AAYLTNPL/AAYLTNPL_f000042.jpg,Chimpanzee,train,154.5,104.5,534.5,357.0,360,640
15,AAYLTNPL/AAYLTNPL_f000043.jpg,Chimpanzee,train,154.5,104.5,534.5,357.0,360,640
16,ABBCACCX/ABBCACCX_f000044.jpg,Elk,train,517.8894202841,95.6093248048,610.0416139644,188.9278311543,360,640
17,ACHCJNPL/ACHCJNPL_f000040.jpg,Squirrel,train,276.5,99.5,636.5,259.5,360,640
18,ACHCJNPL/ACHCJNPL_f000041.jpg,Squirrel,train,276.5,99.5,636.5,259.5,360,640
19,ACHCJNPL/ACHCJNPL_f000042.jpg,Squirrel,train,276.5,99.5,636.5,259.5,360,640
20,ACHCJNPL/ACHCJNPL_f000043.jpg,Squirrel,train,276.5,99.5,636.5,259.5,360,640
21,ACHCJNPL/ACHCJNPL_f000044.jpg,Squirrel,train,276.5,99.5,636.5,259.5,360,640
22,ACHCJNPL/ACHCJNPL_f000045.jpg,Squirrel,train,276.5,99.5,636.5,259.5,360,640
23,ACIZEENW/ACIZEENW_f000035.jpg,Warthog,train,195.9133333333,0.5,435.5533333333,352.6753554502,360,640
24,ACIZEENW/ACIZEENW_f000036.jpg,Warthog,train,195.9133333333,0.5,435.5533333333,352.6753554502,360,640
25,ADVQEVMP/ADVQEVMP_f000021.jpg,Deer,train,234.8567688009,223.42256829530004,381.2480731487,295.8705149591,360,640
26,ADVQEVMP/ADVQEVMP_f000022.jpg,Deer,train,234.8567688009,223.42256829529998,381.2480731487,299.81387264319994,360,640
27,ADVQEVMP/ADVQEVMP_f000023.jpg,Deer,train,234.83664929420001,223.52410964719996,381.1970005549,300.07163145949994,360,640
28,ADVQEVMP/ADVQEVMP_f000024.jpg,Deer,train,234.8567688009,223.42256829529998,381.2480731487,299.81387264319994,360,640
29,ADVQEVMP/ADVQEVMP_f000025.jpg,Deer,train,234.8567688009,223.42256829530004,381.2480731487,298.5417878375,360,640
30,ADVQEVMP/ADVQEVMP_f000026.jpg,Deer,train,234.8567688009,223.42256829529998,381.2480731487,301.08595744879995,360,640
31,AECBXXEN/AECBXXEN_f000038.jpg,Lynx,train,169.1186978056,106.2819905213,227.9089060648,226.8744015947,360,640
32,AECBXXEN/AECBXXEN_f000039.jpg,Lynx,train,169.1186978056,106.2819905213,227.9089060648,226.8744015947,360,640
33,AECBXXEN/AECBXXEN_f000040.jpg,Lynx,train,169.1186978056,106.2819905213,227.9089060648,226.8744015947,360,640
34,AEHRLGCS/AEHRLGCS_f000017.jpg,Giraffe,train,203.49994904339997,138.93419242329998,329.7631623646,266.2237219809999,360,640
35,AEHRLGCS/AEHRLGCS_f000018.jpg,Giraffe,train,190.41521739130002,131.51443582119998,330.2847826087001,273.5366429119,360,640
36,AEHRLGCS/AEHRLGCS_f000019.jpg,Giraffe,train,190.5,131.5,330.5,273.499998135,360,640
37,AEHRLGCS/AEHRLGCS_f000020.jpg,Giraffe,train,190.41521739130002,131.51443582119998,330.2847826087001,273.5366429119,360,640
38,AEHRLGCS/AEHRLGCS_f000021.jpg,Giraffe,train,191.59349462890003,131.51443582119998,330.2847826087001,273.5366429119,360,640
39,AEHRLGCS/AEHRLGCS_f000022.jpg,Giraffe,train,189.14285166329998,130.2423510155,330.28478260869997,273.5366429119,360,640
40,AEIANJQK/AEIANJQK_f000041.jpg,Puma,train,274.4200004861,146.3767772512,316.9400000694,234.9502626923,360,640
41,AEIANJQK/AEIANJQK_f000042.jpg,Puma,train,280.3933333333,146.3767772512,317.7933333333,230.6848601572,360,640
